Name of the Plant,Family,Common Name,Link,Uses
Anemone obtusiloba  D. Don,RANUNCULACEAE,Ageli (Jaunsar),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009953&column=szBarcode,"""UNKNOWN USE"""
Angelica archangelica  L.,APIACEAE,Garden Angelica (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013750&column=szBarcode,"""UNKNOWN USE"""
Aniseia martinicensis  (Jacq.) Choisy.,CONVOLVULACEAE,Potupala (Sinhalese),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009822&column=szBarcode,"""UNKNOWN USE"""
Anisochilus carnosus  (Linn.f.) Wall.,LAMIACEAE,Ajapada (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008901&column=szBarcode,"""UNKNOWN USE"""
Anisomeles indica  (L.) Kuntze,LAMIACEAE,Gobura,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008891&column=szBarcode,"""UNKNOWN USE"""
Anisomeles malabarica  (L.) R.Br.,LAMIACEAE,Chodhara (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008890&column=szBarcode,"""UNKNOWN USE"""
Annona muricata  L.,ANNONACEAE,Mamphal (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009917&column=szBarcode,"""UNKNOWN USE"""
Annona reticulata  L.,ANNONACEAE,Nona (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009916&column=szBarcode,"""UNKNOWN USE"""
Annona squamosa  L.,ANNONACEAE,Sharifa,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009918&column=szBarcode,"""UNKNOWN USE"""
Anodendron paniculatum  A.DC.,APOCYNACEAE,Kavali (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009278&column=szBarcode,"""UNKNOWN USE"""
Anogeissus latifolia  (Roxb. ex. DC.) Wall. ex. Guill. &,COMBRETACEAE,"Dhawa, Dhaura",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013715&column=szBarcode,"""UNKNOWN USE"""
Anthemis cotula  L.,ASTERACEAE,Dog-fennel (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013624&column=szBarcode,"""UNKNOWN USE"""
Anthemis nobilis  L.,ASTERACEAE,Roman Chamomile (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013625&column=szBarcode,"""UNKNOWN USE"""
Anthoxanthum odoratum  L.,POACEAE,Sweet Vernal Grass (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003909&column=szBarcode,"""UNKNOWN USE"""
Anthriscus cerefolium  Hoffm.,APIACEAE,French Parsley (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013985&column=szBarcode,"""UNKNOWN USE"""
Antiaris toxicaria  (Pers.) Lesch.,MORACEAE,Karwat (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009771&column=szBarcode,"""UNKNOWN USE"""
Antidesma bunius  Spreng.,EUPHORBIACEAE,Amati (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008989&column=szBarcode,"""UNKNOWN USE"""
Apama siliquosa  Lam.,ARISTOLOCHIACEAE,Kuravankanda (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008875&column=szBarcode,"""UNKNOWN USE"""
Aphanamixis polystachya  (Wall.) R.Parker,MELIACEAE,Harin-harra,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009887&column=szBarcode,"""UNKNOWN USE"""
Apium graveolens  L.,APIACEAE,"Shalari, Ajmud",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013759&column=szBarcode,"""UNKNOWN USE"""
Aquilegia vulgaris  L.,RANUNCULACEAE,Common Columbine (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009948&column=szBarcode,"""UNKNOWN USE"""
Arachis hypogaea  L.,FABACEAE,Mung-phali,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003685&column=szBarcode,"""UNKNOWN USE"""
