drug_chembl_id,drug_name,substrate_chembl_id,substrate_name,metabolite_chembl_id,metabolite_name,enzyme_name,enzyme_tid,organism,pathway_id,pathway_key,met_conversion,met_comment,references
CHEMBL3526905,PRAZOSIN,CHEMBL3526243,Intermediate I,CHEMBL3526244,Intermediate II,,,,1,fig 8,,"""Species: Rattus norvegicus,Macaca fascicularis""",21177486
CHEMBL3526905,PRAZOSIN,CHEMBL3526470,M19,CHEMBL3527291,"""M5,M7""",,,,1,fig 8,,"""Species: Rattus norvegicus,Macaca fascicularis""",21177486
CHEMBL3526905,PRAZOSIN,CHEMBL3526243,Intermediate I,CHEMBL3526471,M20,,,,1,fig 8,,"""Species: Rattus norvegicus,Macaca fascicularis""",21177486
CHEMBL3526905,PRAZOSIN,CHEMBL3526471,M20,CHEMBL3526829,M6,,,,1,fig 8,,"""Species: Rattus norvegicus,Macaca fascicularis""",21177486
CHEMBL3526905,PRAZOSIN,CHEMBL3526829,M6,CHEMBL3526211,M10,,,,1,fig 8,,"""Species: Rattus norvegicus,Macaca fascicularis""",21177486
CHEMBL3526905,PRAZOSIN,CHEMBL3526208,M12,CHEMBL3526746,M4,,,,1,fig 8,,"""Species: Rattus norvegicus,Macaca fascicularis""",21177486
CHEMBL3526905,PRAZOSIN,CHEMBL3526746,M4,CHEMBL3527595,M2,,,,1,fig 8,,"""Species: Rattus norvegicus,Macaca fascicularis""",21177486
CHEMBL3526905,PRAZOSIN,CHEMBL3526208,M12,CHEMBL3542322,unnamed metabolite,,,,1,fig 8,,"""Species: Rattus norvegicus,Macaca fascicularis""",21177486
CHEMBL3526905,PRAZOSIN,CHEMBL3542322,unnamed metabolite,CHEMBL3526963,M14,,,,1,fig 8,,"""Species: Rattus norvegicus,Macaca fascicularis""",21177486
CHEMBL3526905,PRAZOSIN,CHEMBL3526208,M12,CHEMBL3526234,M11,,,,1,fig 8,,"""Species: Rattus norvegicus,Macaca fascicularis""",21177486
CHEMBL3526905,PRAZOSIN,CHEMBL3526234,M11,CHEMBL3527594,M1,,,,1,fig 8,,"""Species: Rattus norvegicus,Macaca fascicularis""",21177486
CHEMBL3526905,PRAZOSIN,CHEMBL3527594,M1,CHEMBL3526660,M3,,,,1,fig 8,,"""Species: Rattus norvegicus,Macaca fascicularis""",21177486
CHEMBL3526905,PRAZOSIN,CHEMBL3526208,M12,CHEMBL3527076,M8,,,,1,fig 8,,"""Species: Rattus norvegicus,Macaca fascicularis""",21177486
CHEMBL3526905,PRAZOSIN,CHEMBL3526754,M9,CHEMBL3526244,Intermediate II,,,,1,fig 8,,"""Species: Rattus norvegicus,Macaca fascicularis""",21177486
CHEMBL3526905,PRAZOSIN,CHEMBL3526849,M13,CHEMBL3526754,M9,,,,1,fig 8,,"""Species: Rattus norvegicus,Macaca fascicularis""",21177486
CHEMBL3526905,PRAZOSIN,CHEMBL3526767,M17,CHEMBL3526766,M16,,,,1,fig 8,,"""Species: Rattus norvegicus,Macaca fascicularis""",21177486
