drug_name, chembl_id, molecular_weight, logP, polar_surface_area, h_bond_donors, h_bond_acceptors, is_natural_product, current_indications
"SUNITINIB MALATE", "CHEMBL1567", 398.48, 3.33, 77.23, 3, 3, FALSE, "lung cancer; prostate cancer; prostate adenocarcinoma; breast cancer; head and neck squamous cell carcinoma; "
"FOSPROPOFOL", "CHEMBL1201766", 288.28, 3.38, 75.99, 2, 3, TRUE, "hypertension; depressive disorder; severe acute respiratory syndrome; post operative nausea and vomiting; injury; "
"ETODOLAC", "CHEMBL622", 287.36, 3.38, 62.32, 2, 2, TRUE, "rheumatoid arthritis; rheumatic disease; Fish-eye disease; pain; osteoarthritis; "
"CILOSTAZOL", "CHEMBL799", 369.47, 3.46, 81.93, 1, 6, TRUE, "injury; heart failure; Cognitive impairment; rheumatoid arthritis; pain; "
"RUXOLITINIB", "CHEMBL1789941", 306.37, 3.47, 83.18, 1, 5, TRUE, "COVID-19; lung cancer; severe acute respiratory syndrome; rheumatoid arthritis; prostate cancer; "
"OXYPHENBUTAZONE", "CHEMBL3989676", 324.38, 3.49, 60.85, 1, 3, FALSE, "Arthralgia; Myalgia; rheumatic disease; eye inflammation; "
"DEXLANSOPRAZOLE", "CHEMBL1201863", 369.37, 3.52, 73.86, 1, 4, FALSE, "gastroesophageal reflux disease; Peptic ulcer; Barrett's esophagus; dyspepsia; peptic esophagitis; "
"LANSOPRAZOLE", "CHEMBL480", 369.37, 3.52, 73.86, 1, 4, FALSE, "cervical cancer; breast cancer; gout; pain; premature birth; "
"PARECOXIB SODIUM", "CHEMBL296913", 370.43, 3.53, 89.27, 1, 5, FALSE, "pain; osteoarthritis; "
"OXANDROLONE", "CHEMBL1200436", 306.45, 3.54, 46.53, 1, 3, TRUE, "injury; neoplasm; rotator cuff tear; Fanconi anemia; burn; "
"WARFARIN SODIUM", "CHEMBL1200879", 308.33, 3.61, 67.51, 1, 4, FALSE, "rheumatoid arthritis; myocardial infarction; atrial fibrillation; stroke; Venous thrombosis; "
"WARFARIN", "CHEMBL1464", 308.33, 3.61, 67.51, 1, 4, TRUE, "Parkinson disease; heart failure; Alzheimer disease; rheumatoid arthritis; prostate cancer; "
"OZANIMOD HYDROCHLORIDE", "CHEMBL3707246", 404.47, 3.63, 104.2, 2, 7, FALSE, "ulcerative colitis; relapsing-remitting multiple sclerosis; multiple sclerosis; "
"OZANIMOD", "CHEMBL3707247", 404.47, 3.63, 104.2, 2, 7, TRUE, "COVID-19; ulcerative colitis; Crohn's disease; relapsing-remitting multiple sclerosis; liver disease; "
"FENOPROFEN CALCIUM", "CHEMBL2103736", 242.27, 3.67, 46.53, 1, 2, FALSE, "rheumatoid arthritis; osteoarthritis; "
"PREDNICARBATE", "CHEMBL1200386", 488.58, 3.7, 116.2, 1, 8, TRUE, "psoriasis; skin disease; Eczematoid dermatitis; candidiasis; tinea pedis; "
"CARVEDILOL", "CHEMBL723", 406.48, 3.74, 75.74, 3, 5, TRUE, "hypertension; post-traumatic stress disorder; cocaine dependence; heart failure; rheumatoid arthritis; "
"HYDROXYCHLOROQUINE SULFATE", "CHEMBL1690", 335.88, 3.78, 48.39, 2, 4, FALSE, "COVID-19; rheumatoid arthritis; rheumatic disease; cutaneous melanoma; lung disease; "
"CAPSAICIN", "CHEMBL294199", 305.42, 3.79, 58.56, 2, 3, TRUE, "Arthralgia; Myalgia; breast cancer; pain; osteoarthritis; "
"NICLOSAMIDE", "CHEMBL1448", 327.12, 3.86, 92.47, 2, 4, TRUE, "COVID-19; rheumatoid arthritis; metastatic prostate cancer; prostate cancer; acute myeloid leukemia; "
"LOTEPREDNOL ETABONATE", "CHEMBL1200865", 466.96, 3.92, 99.13, 1, 7, TRUE, "eye inflammation; inflammation; cataract; anterior uveitis; dry eye syndrome; "
